This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202407 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and BEME.

The portfolios are constructed at the end of June.  BEME is book value at the last fiscal year end of the prior calendar year
divided by ME at the end of December of the prior year. 
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
193105,  -8.5388,   1.2585, -15.8782, -11.8869, -15.9786,  -8.1287,  -8.3046,  -5.8782, -11.5349, -12.0153, -16.7741, -13.5059,  -9.6980, -13.1184, -17.4219, -11.0117, -12.5297, -17.0847, -27.0036, -25.9812, -12.0741, -11.7000, -18.5593, -18.8668, -22.6087
193106,  20.8367,   6.8787,  14.0651,  15.1079,  17.8916,   8.6342,   7.1236,   1.2228,  11.9860,  21.0170,  12.4845,  10.0755,   6.9124,  17.7734,  28.2694,  13.5815,  14.0353,  18.4460,  32.1096,  24.6854,  12.3089,  12.9970,  14.3198,  21.1239,  40.4494
193107,  -6.3445, -11.6991,  -9.6939,  -7.1504,  -5.3213,  -6.0297,  -5.8145,  -7.9333,  -6.4751,  -7.3422,  -6.7570,  -7.7175, -10.3387,  -8.7785, -12.9384,  -5.6333,  -5.3172,  -8.5643,  -9.1387, -13.5493,  -5.5223,  -7.2976, -11.8473, -13.2188,   0.0000
193108, -13.2200,  -0.2852,  -5.0247,  -5.2131,  -5.1187,   4.7199,  -0.6046,   3.0738,  -1.7859,  -4.5564,   0.0149,  -1.1901,  -1.5112,  -3.2907,  -4.6482,  -1.3355,  -2.5734,   1.5523,   3.6163,   6.6549,  -0.3847,   1.1004,  -1.3390,  -3.8456,   8.4337
193109, -49.4730, -30.9794, -28.4077, -35.0228, -32.0536, -27.7129, -25.9775, -35.7661, -30.6274, -37.3877, -27.6594, -31.5622, -31.9737, -33.6610, -34.1349, -30.4034, -25.8721, -30.3139, -34.1961, -41.4557, -29.8264, -25.5770, -31.8896, -33.5969, -45.5556
193110,  12.6793,  -3.4816,   0.5496,   8.7633,   6.4516,   6.1226,   0.7520,   8.0725,   7.3380,  12.7797,  -1.3884,  13.3117,  10.5377,   8.4538,   6.4063,   8.7931,   5.7089,  11.2325,  12.2502,  13.1310,   9.0156,   6.7725,  -0.5077,   3.5766,  20.4082
193111, -23.9803, -22.2863, -10.2839,  -8.3374, -11.5092, -12.8176,  -7.5193,  -8.1030,  -5.6009, -11.1334,  -6.7839, -10.2331,  -5.2827, -11.0222, -10.6534,  -7.8421,  -4.4338, -11.5529, -14.0209, -11.4839,  -6.6027, -11.9478, -20.0615, -22.1680,  -6.7797
193112, -25.3044,  -3.7647, -19.4012, -27.1776, -25.0586, -11.1941, -13.7022, -15.0358, -18.6950, -24.1234, -16.2111, -19.1400, -18.2547, -15.5932, -16.2804, -12.2553, -14.8546, -11.8232, -21.8633, -25.7755, -11.4328, -17.1755, -22.6296, -24.3780, -30.9091
193201,   5.5527,  -6.6468,   8.3063,  13.9683,   6.0887,  -1.2147,  -1.9054,   4.6780,  14.2412,  18.3762,   0.2528,   3.6444,   2.2065,  -1.8919,   5.5140,  -3.7604,  -0.9324,  -1.0264,   3.8507,   1.9409,  -3.9187,  -1.7342,   1.8873,  10.9191,   7.8947
193202, -12.7896,  -0.0154,   5.8810,  -1.9977,   3.4665,  -5.4119,   3.2908,  -2.4149,  -4.9362,  -1.2158,  -0.0896,   2.4634,   2.2674,   0.2285,  -1.4858,   3.1738,   4.5150,  -1.7280,   0.9107,   3.7601,   6.5913,   4.5055,   3.2295,  -3.3170,  14.6341
193203, -23.0216,  -3.9056,  -3.2485, -11.5349, -11.8922,  -5.9335, -14.2669, -11.8843,  -4.4813, -13.2422,  -9.5936, -15.4641, -12.0260, -13.7205, -11.1987, -11.7643, -11.8852, -11.8898, -12.7400, -10.1478, -11.8092, -11.0011, -14.4970, -23.5663,   2.1277
193204, -40.7620, -16.8293, -35.3448, -29.6236, -18.0051, -20.9656,  -8.9230, -15.0032, -17.6031, -14.3736, -19.2427, -13.5659, -15.4668, -16.6895, -22.6971, -15.4343, -16.2160, -17.9201, -14.2341, -15.2035, -18.4695, -20.9084, -19.2263, -22.1641, -22.9167
193205, -12.8641, -35.2372,  -5.8922,  -9.8691, -10.2889, -11.9878, -21.8163, -22.1664, -17.4305, -20.4772, -27.5764, -24.6153, -27.1570, -24.0855, -26.4443, -20.7345, -20.9084, -18.3597, -19.1994, -27.9405, -21.0508, -18.1427, -31.2171, -36.7136, -10.8108
193206,  35.7939, -16.9948,   5.3018,  -5.9335,  -3.4124,  -9.2656,  -4.9040,  -5.9057,  10.9657,   6.5301,   7.1784,   2.8539,   6.5932,   4.8904,   0.4757,   0.2700,   2.3373,  -5.4428,   8.7345,   0.4792,  -4.5128,  -1.0589,   3.8693,   8.1960,  21.2121
193207, 147.8401,  14.3231,  39.3873,  38.2866,  54.5473,  37.5774,  27.6658,  41.8126,  51.9356,  69.5152,  26.4707,  30.2539,  39.3395,  54.9295,  68.8204,  30.0818,  33.1495,  35.7179,  68.7899,  80.0358,  26.2382,  37.0706,  50.1524,  56.4150,  98.0392
193208,  49.3739,  94.6241,  91.2211,  83.8394,  99.5503,  34.3849,  67.0166,  56.0549,  62.6508,  89.9724,  54.4182,  38.9286,  46.8716,  70.1732,  70.4852,  29.0002,  45.2817,  64.0747,  63.5623,  86.6040,  30.2852,  34.0755,  46.9258,  51.8697,  65.3465
193209, -27.1191, -11.0603, -17.6798,  -4.5548, -17.2166,  -1.7021,  -6.3692,  -5.5381,  -7.9104, -12.5966,  -5.8415,  -8.3624,  -3.1992, -11.9790,  -9.1765,  -0.3496,  -5.4480,  -8.2207,  -7.1175,  -8.9044,  -0.3497,  -6.8831,  -8.8904,  -2.8747,  15.5689
193210,  -9.1645, -13.1779, -27.4532, -20.3610, -19.6691, -12.4439, -21.9808, -17.3943, -24.8176, -22.5008, -15.3344, -15.9728, -21.4433, -23.5763, -25.7489, -11.3705, -18.3349, -19.0329, -20.3835, -25.6917, -11.5382,  -9.8780, -15.3861, -19.6286, -30.0518
